input_file,method,experiment,density1,weight1,density2,weight2,humaneval_base,humaneval_plus,mbpp_base,mbpp_plus,agg_bleu4,agg_chrf,agg_rouge,agg_meteor,norm_bleu4,norm_chrf,norm_rouge,norm_meteor,ne_bleu4,ne_chrf,ne_rouge,ne_meteor
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,1,0.2,0.1,0.2,0.1,0.732,0.665,0.735,0.653,0.0131,0.2665,0.2127,0.2342,0.0161,0.2718,0.2128,0.2421,0.0203,0.2873,0.2401,0.2597
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,2,0.2,0.2,0.2,0.2,0.707,0.652,0.725,0.646,0.0212,0.2126,0.2552,0.2005,0.0223,0.2074,0.2553,0.1820,0.0223,0.2073,0.2552,0.1820
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,3,0.2,0.3,0.2,0.3,0.713,0.659,0.735,0.656,0.0227,0.2150,0.2588,0.2030,0.0241,0.2099,0.2588,0.1847,0.0240,0.2093,0.2584,0.1843
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,4,0.2,0.4,0.2,0.4,0.695,0.646,0.738,0.659,0.0265,0.2316,0.2658,0.2187,0.0280,0.2269,0.2659,0.2023,0.0278,0.2258,0.2650,0.2013
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,5,0.2,0.5,0.2,0.5,0.707,0.659,0.772,0.683,0.0283,0.2521,0.2624,0.2358,0.0293,0.2483,0.2624,0.2246,0.0292,0.2472,0.2618,0.2237
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,6,0.2,0.6,0.2,0.6,0.677,0.628,0.751,0.646,0.0205,0.2442,0.2142,0.2079,0.0215,0.2427,0.2142,0.2045,0.0225,0.2420,0.2153,0.2037
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,7,0.2,0.7,0.2,0.7,0.652,0.591,0.741,0.632,0.0109,0.2198,0.1714,0.1604,0.0117,0.2193,0.1714,0.1590,0.0126,0.2187,0.1729,0.1580
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,8,0.2,0.8,0.2,0.8,0.622,0.573,0.759,0.659,0.0064,0.2030,0.1476,0.1338,0.0065,0.2027,0.1476,0.1335,0.0063,0.1996,0.1467,0.1305
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,9,0.2,0.9,0.2,0.9,0.579,0.524,0.720,0.614,0.0067,0.2060,0.1545,0.1375,0.0069,0.2059,0.1546,0.1375,0.0068,0.2037,0.1534,0.1357
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,10,0.3,0.1,0.3,0.1,0.695,0.646,0.712,0.630,0.0184,0.2204,0.2441,0.2033,0.0196,0.2157,0.2442,0.1860,0.0195,0.2156,0.2442,0.1860
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,11,0.3,0.2,0.3,0.2,0.732,0.677,0.720,0.643,0.0214,0.2120,0.2555,0.2004,0.0225,0.2067,0.2556,0.1819,0.0225,0.2067,0.2555,0.1818
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,12,0.3,0.3,0.3,0.3,0.720,0.659,0.733,0.653,0.0227,0.2149,0.2590,0.2029,0.0242,0.2097,0.2591,0.1847,0.0241,0.2092,0.2585,0.1842
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,13,0.3,0.4,0.3,0.4,0.738,0.689,0.743,0.664,0.0273,0.2330,0.2679,0.2203,0.0287,0.2283,0.2680,0.2037,0.0284,0.2270,0.2669,0.2026
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,14,0.3,0.5,0.3,0.5,0.726,0.659,0.765,0.667,0.0291,0.2562,0.2593,0.2392,0.0302,0.2528,0.2593,0.2297,0.0300,0.2513,0.2584,0.2284
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,15,0.3,0.6,0.3,0.6,0.671,0.610,0.770,0.656,0.0210,0.2471,0.2170,0.2093,0.0219,0.2455,0.2170,0.2060,0.0227,0.2448,0.2178,0.2053
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,16,0.3,0.7,0.3,0.7,0.622,0.579,0.767,0.651,0.0135,0.2291,0.1826,0.1730,0.0143,0.2285,0.1826,0.1715,0.0154,0.2276,0.1838,0.1703
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,17,0.3,0.8,0.3,0.8,0.598,0.555,0.751,0.648,0.0077,0.2105,0.1574,0.1436,0.0079,0.2101,0.1574,0.1429,0.0079,0.2078,0.1566,0.1406
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,18,0.3,0.9,0.3,0.9,0.579,0.530,0.728,0.632,0.0063,0.2052,0.1508,0.1332,0.0063,0.2050,0.1509,0.1332,0.0061,0.2012,0.1488,0.1298
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,19,0.4,0.1,0.4,0.1,0.695,0.640,0.706,0.624,0.0181,0.2212,0.2431,0.2034,0.0193,0.2165,0.2432,0.1863,0.0193,0.2165,0.2432,0.1863
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,20,0.4,0.2,0.4,0.2,0.720,0.659,0.725,0.640,0.0209,0.2115,0.2547,0.1998,0.0220,0.2063,0.2548,0.1812,0.0219,0.2062,0.2547,0.1812
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,21,0.4,0.3,0.4,0.3,0.707,0.665,0.743,0.661,0.0232,0.2174,0.2601,0.2053,0.0247,0.2123,0.2602,0.1872,0.0246,0.2116,0.2595,0.1866
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,22,0.4,0.4,0.4,0.4,0.726,0.677,0.743,0.653,0.0268,0.2352,0.2675,0.2223,0.0282,0.2305,0.2675,0.2062,0.0279,0.2292,0.2664,0.2050
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,23,0.4,0.5,0.4,0.5,0.726,0.659,0.751,0.656,0.0296,0.2533,0.2678,0.2378,0.0306,0.2494,0.2678,0.2259,0.0305,0.2485,0.2673,0.2251
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,24,0.4,0.6,0.4,0.6,0.689,0.616,0.754,0.643,0.0212,0.2463,0.2162,0.2095,0.0221,0.2447,0.2162,0.2064,0.0227,0.2440,0.2168,0.2055
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,25,0.4,0.7,0.4,0.7,0.659,0.585,0.751,0.640,0.0108,0.2202,0.1694,0.1593,0.0114,0.2199,0.1695,0.1582,0.0124,0.2189,0.1706,0.1570
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,26,0.4,0.8,0.4,0.8,0.610,0.555,0.767,0.651,0.0078,0.2095,0.1565,0.1426,0.0080,0.2091,0.1565,0.1423,0.0080,0.2070,0.1556,0.1402
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,27,0.4,0.9,0.4,0.9,0.598,0.561,0.720,0.608,0.0054,0.2014,0.1455,0.1283,0.0055,0.2012,0.1455,0.1284,0.0054,0.1989,0.1442,0.1262
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,28,0.6,0.1,0.6,0.1,0.707,0.652,0.714,0.624,0.0180,0.2231,0.2412,0.2043,0.0191,0.2185,0.2413,0.1875,0.0191,0.2185,0.2413,0.1875
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,29,0.6,0.2,0.6,0.2,0.707,0.646,0.720,0.643,0.0209,0.2120,0.2544,0.2000,0.0219,0.2067,0.2545,0.1815,0.0219,0.2067,0.2545,0.1815
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,30,0.6,0.3,0.6,0.3,0.720,0.665,0.735,0.653,0.0232,0.2167,0.2596,0.2045,0.0246,0.2116,0.2596,0.1865,0.0245,0.2111,0.2591,0.1860
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,31,0.6,0.4,0.6,0.4,0.732,0.677,0.743,0.661,0.0270,0.2342,0.2675,0.2214,0.0285,0.2295,0.2675,0.2052,0.0283,0.2284,0.2665,0.2042
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,32,0.6,0.5,0.6,0.5,0.720,0.652,0.757,0.659,0.0285,0.2564,0.2589,0.2400,0.0295,0.2529,0.2589,0.2304,0.0293,0.2518,0.2582,0.2294
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,33,0.6,0.6,0.6,0.6,0.695,0.622,0.770,0.667,0.0203,0.2454,0.2134,0.2074,0.0209,0.2437,0.2134,0.2042,0.0213,0.2430,0.2140,0.2035
m_dare_qwc15_d0_3_0_7_m_h.out,DARE,34,0.6,0.7,0.6,0.7,0.652,0.591,0.757,0.646,0.0125,0.2250,0.1767,0.1660,0.0132,0.2245,0.1768,0.1646,0.0141,0.2238,0.1781,0.1637
